run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,distinct_evaluated,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,999aa186d3a757ad,500,500,budget_exhausted,523.0,23.0,0.0,500.0,,,,,,9.701871083001606,26,24,0.9887660647874957,0.15074479866450172,3.8644428275259193,3384.9466844336393,-0.8999999999999987,0.8999999999999988,0.8999999999999987,1.0,0.16666666666666666,0.0,1.5987211554602254e-12,1018.7999999999986,30.915542620207354,0.0,0.0,126.0
S025:i101:nsga2:s1060001:r1:48a97e340365,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,f335ef2b2e02bac8,500,500,budget_exhausted,518.0,18.0,0.0,500.0,,,,,,9.617523958993843,60,24,0.9987031711896932,0.10127877177240092,4.248721038271519,3872.396976376805,-0.8999999999999941,0.8999999999999941,0.8999999999999941,1.0,0.25,0.0,6.849631972727366e-12,1018.7999999999934,33.98976830617215,0.0,0.0,144.0
S025:i101:nsga2:s1060002:r2:df59021f69b3,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,e73730fb8e5a2ae5,500,500,budget_exhausted,525.0,25.0,0.0,500.0,,,,,,9.551596083008917,32,24,1.0533734584198062,0.14424379240136584,3.8652283928910434,3560.77062395764,-0.8999999999999994,0.8999999999999995,0.8999999999999994,1.0,0.3333333333333333,0.0,7.958078640513122e-13,1018.7999999999994,30.921827143128347,0.0,0.0,127.0
S025:i101:nsga2_ls:s1060000:r0:3f5cc8ee6624,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,063216b8007fff1f,500,500,budget_exhausted,517.0,17.0,277.0,500.0,60.0,61.0,51.0,48.0,57.0,9.52815908298362,12,24,0.948606096563986,0.15644621672521067,4.323837164030483,3786.277542510375,-0.8999999999999966,0.8999999999999967,0.8999999999999966,1.0,0.16666666666666666,0.0,4.021671884402167e-12,1018.7999999999962,34.59069731224386,0.0,0.0,143.0
S025:i101:nsga2_ls:s1060001:r1:60e37c9eaac4,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,b7966e4162f98724,500,500,budget_exhausted,502.0,2.0,280.0,500.0,45.0,56.0,64.0,66.0,49.0,9.618996916979086,34,24,0.9260483373626696,0.09239657736252883,4.26030859995126,3674.7419147622495,-0.8999999999999965,0.8999999999999966,0.8999999999999965,1.0,0.25,0.0,4.092726157978177e-12,1018.7999999999961,34.08246879961008,0.0,0.0,140.0
S025:i101:nsga2_ls:s1060002:r2:dc17c916b88d,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,974831f3df296d80,500,500,budget_exhausted,514.0,14.0,272.0,500.0,58.0,57.0,57.0,50.0,50.0,9.707967541995458,22,24,0.9183641754638429,0.1072713519164678,4.225122696170107,3821.6675133710714,-0.8999999999999997,0.8999999999999998,0.8999999999999997,1.0,0.16666666666666666,0.0,4.263256414560601e-13,1018.7999999999997,33.80098156936086,0.0,0.0,144.0
S025:i101:nsga2_alns:s1060000:r0:1f78256760f1,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,4c825fcad1e8fe39,500,500,budget_exhausted,512.0,12.0,272.0,500.0,28.0,38.0,35.0,93.0,78.0,9.603512708010385,25,24,0.9097847079266325,0.10677122202750823,4.259889982336045,3648.946953509684,-0.8999999999999998,0.8999999999999999,0.8999999999999998,1.0,0.16666666666666666,0.0,2.2737367544323206e-13,1018.8,34.07911985868836,0.0,0.0,143.0
S025:i101:nsga2_alns:s1060001:r1:e91b733cd2f6,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,02cbde4f58f45bf7,500,500,budget_exhausted,514.0,14.0,269.0,500.0,21.0,47.0,35.0,79.0,87.0,9.728405500005465,23,24,1.0181101224518543,0.10859487735489326,4.359049380010496,3773.4337835245456,-0.8999999999999974,0.8999999999999975,0.8999999999999974,1.0,0.25,0.0,3.183231456205249e-12,1018.7999999999971,34.872395040083966,0.0,0.0,141.0
S025:i101:nsga2_alns:s1060002:r2:fe10b818531a,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,95edc45b44932cd0,500,500,budget_exhausted,506.0,6.0,263.0,500.0,36.0,43.0,22.0,81.0,81.0,9.57613891598885,27,24,1.1601109637476463,0.1622361154547245,3.8750046476949795,3416.2682952482483,-0.8999999999999955,0.8999999999999956,0.8999999999999955,1.0,0.16666666666666666,0.0,5.073275133327115e-12,1018.799999999995,31.000037181559836,0.0,0.0,128.0
S025:i102:nsga2:s1070000:r0:dea0bcd62708,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,e5d7b30cfb8e54394ca5d4450d0bcc051bafa0d1ef5338a89259c8ba6c08343e,45765271704c7b5b,500,500,budget_exhausted,529.0,29.0,0.0,500.0,,,,,,9.493744250008604,35,27,0.9913682948170748,0.18414426983309684,4.249704482864697,5270.936375710033,-0.8999999999999974,0.8999999999999974,0.8999999999999974,1.0,0.3333333333333333,0.0,3.140598892059643e-12,1043.099999999997,33.997635862917576,0.0,0.0,149.0
